Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1300
,,,Misc_Cholera,Misc_Cholera,Cholera,អាសន្នរោគ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Cholera, unspecified","Misc_Cholera, unspecified","Cholera, unspecified",សង្ស័យអាសន្នរោគ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Typhoid and Paratyphoid Fevers,Misc_Typhoid and Paratyphoid Fevers,Typhoid and Paratyphoid Fevers,គ្រុនពោះវៀន,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Amebiasis,Misc_Amebiasis,Amebiasis,រាកមួល​,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Amebic Liver Abscess,Misc_Amebic Liver Abscess,Amebic Liver Abscess,Amebic Liver Abscess,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Gastroenteritis diarrhea (GE),Misc_Gastroenteritis diarrhea (GE),Gastroenteritis diarrhea (GE),រាកគ្មានខ្សោះជាតិទឹក(GE),,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Gastroenteritis diarrhea, moderate (GE)","Misc_Gastroenteritis diarrhea, moderate (GE)","Gastroenteritis diarrhea, moderate (GE)",រាកមានខ្សោះជាតិទឹកមធ្យម(GE),,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Gastroenteritis diarrhea, severe (GE)","Misc_Gastroenteritis diarrhea, severe (GE)","Gastroenteritis diarrhea, severe (GE)",រាកមានខ្សោះជាតិទឹកធ្ងន់ធ្ងរ(GE),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tetanus neonatorum,Misc_Tetanus neonatorum,Tetanus neonatorum,តេតាណូសទារក,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Tetanus, other","Misc_Tetanus, other","Tetanus, other",តេតាណូសផ្សេងៗទៀត,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Diphtheria,Misc_Diphtheria,Diphtheria,ខាន់ស្លាក់,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Whooping cough,Misc_Whooping cough,Whooping cough,ក្អកមាន់,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Sepsis, unspecified organism","Misc_Sepsis, unspecified organism","Sepsis, unspecified organism",ឆ្លងរោគក្នុងឈាម,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Acute poliomyelitis,Misc_Acute poliomyelitis,Acute poliomyelitis,គ្រុនទន់អវៈយវៈ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Rabies,Misc_Rabies,Rabies,ជំងឺឆ្កែឆ្កួតខាំ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Dysentery,Misc_Dysentery,Dysentery,រាគមួល,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Measles,Misc_Measles,Measles,កញ្រ្ចិល,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Schistosomiasis,Misc_Schistosomiasis,Schistosomiasis,ស៊ីសស្តូសូមីញ៉ាស៊ីស,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Anemia,Misc_Anemia,Anemia,ភាពស្លកសាំង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tumor,Misc_Tumor,Tumor,ដុំមហារីក,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Anemia, folate","Misc_Anemia, folate","Anemia, folate",អាស៊ីតខ្វះឈាម,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Anemia, iron","Misc_Anemia, iron","Anemia, iron",ជាតិដែកខ្វះឈាម,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Anemia, unspecified","Misc_Anemia, unspecified","Anemia, unspecified",ជំងឺស្លេកស្លាំង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Hypothyroidism,Misc_Hypothyroidism,Hypothyroidism,Hypothyroidism,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Hyperthyroidism,Misc_Hyperthyroidism,Hyperthyroidism,Hyperthyroidism,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Hypoglycemia, unspecified","Misc_Hypoglycemia, unspecified","Hypoglycemia, unspecified",ជំងឺថយចុះជាតិស្ករ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Dehydration,Misc_Dehydration,Dehydration,ខះជាតិទឹក,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Meningitis, unspecified","Misc_Meningitis, unspecified","Meningitis, unspecified",ជំងឺរលាកស្រោមខួរក្បាល,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Epilepsy, unspecified","Misc_Epilepsy, unspecified","Epilepsy, unspecified",ជំងឺឆ្កួតជ្រូក,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Migraine,Misc_Migraine,Migraine,ជំងឺឈឺក្បាលប្រកាំង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tension headache,Misc_Tension headache,Tension headache,Tension headache,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Neuropathy,Misc_Neuropathy,Neuropathy,ជំងឺសរសៃប្រសាទ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Heart failure, unspecified","Misc_Heart failure, unspecified","Heart failure, unspecified",ជម្ងឺខ្សោយបេះដូង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Angina pectoris,Misc_Angina pectoris,Angina pectoris,ចុកទ្រូងដោយសារបញ្ហាសរសៃឈាមបេះដូង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Acute myocardial infarction,Misc_Acute myocardial infarction,Acute myocardial infarction,ស្លាប់សាច់បេះដូងស្រួចស្រាវ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Cerebral Infarction (Stroke),Misc_Cerebral Infarction (Stroke),Cerebral Infarction (Stroke),ស្ទះសរសៃរឈាមខួរក្បាល(Stroke),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Stomatitis,Misc_Stomatitis,Stomatitis,,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Gastric ulcer,Misc_Gastric ulcer,Gastric ulcer,ដំបៅក្រពះ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Gastritis,Misc_Gastritis,Gastritis,រលាកក្រពះ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Gastroesophageal reflux disease (GERD),Misc_Gastroesophageal reflux disease (GERD),Gastroesophageal reflux disease (GERD),ជំងឺច្រាលក្រពះពោះវៀន(GERD),,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Hepatitis, chronic","Misc_Hepatitis, chronic","Hepatitis, chronic",ជំងឺរលាកថ្លើម,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Hernia, inguinal","Misc_Hernia, inguinal","Hernia, inguinal",ក្លន inguinal,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Hernia, umbilical","Misc_Hernia, umbilical","Hernia, umbilical",ក្លនលាមក,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Peptic ulcer, site unspecifed","Misc_Peptic ulcer, site unspecifed","Peptic ulcer, site unspecifed",ដំបៅក្រពះ តំបន់មិនបានបញ្ជាក់,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Acute gastritis,Misc_Acute gastritis,Acute gastritis,រលាកក្រពះស្រួចស្រាវ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Chronic gastritis, unspecified","Misc_Chronic gastritis, unspecified","Chronic gastritis, unspecified",រលាកក្រពះរ៉ាំរ៉ៃ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Rectal polyp,Misc_Rectal polyp,Rectal polyp,ពោះវៀនធំ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Hemorrhoids,Misc_Hemorrhoids,Hemorrhoids,ជំងឺឬសដូងបាត,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Cirrhosis,Misc_Cirrhosis,Cirrhosis,ក្រិនថ្លើម,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Cholecystitis,Misc_Cholecystitis,Cholecystitis,រលាកថង់ទឹកប្រមាត់,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Arthritis, unspecified","Misc_Arthritis, unspecified","Arthritis, unspecified",រលាកសន្លាក់គ្មានខ្ទុះ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Musculoskeletal pain,Misc_Musculoskeletal pain,Musculoskeletal pain,ឈឺសាច់ដុំ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Osteoporosis, unspecified","Misc_Osteoporosis, unspecified","Osteoporosis, unspecified",រោគពុកឆ្អឹង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Nephritic syndrome,Misc_Nephritic syndrome,Nephritic syndrome,,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Renal colic, unspecified","Misc_Renal colic, unspecified","Renal colic, unspecified",ចុកតំរងនោម,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Urinary tract infection (UTI),Misc_Urinary tract infection (UTI),Urinary tract infection (UTI),ការឆ្លងមេរោគលើផ្លូវបង្ហូរទឹកនោម(UTI),,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Jaundice, unspecified","Misc_Jaundice, unspecified","Jaundice, unspecified",ជំងឺគ្រុនលឿង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Ascites,Misc_Ascites,Ascites,ទាចទឹក,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Fever of unknown origin (FUO),Misc_Fever of unknown origin (FUO),Fever of unknown origin (FUO),គ្រុនក្តៅមិនដឹងប្រភពដើម(FUO​),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Abdominal pain,Misc_Abdominal pain,Abdominal pain,ឈឺពោះ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Abdominal/digestive problems, other","Misc_Abdominal/digestive problems, other","Abdominal/digestive problems, other",បញ្ហាពោះឬរំលាយអាហារ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Drug toxicity,Misc_Drug toxicity,Drug toxicity,ពុលថ្នាំពេទ្យ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Petrol intoxication,Misc_Petrol intoxication,Petrol intoxication,គ្រឿងស្រវឹង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Food intoxication,Misc_Food intoxication,Food intoxication,ពុលចំណីអាហារ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Snake bite,Misc_Snake bite,Snake bite,ពស់ចឹក,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Poisoning/Ingestion of non medicinal substances,Misc_Poisoning/Ingestion of non medicinal substances,Poisoning/Ingestion of non medicinal substances,ពុលសារធាតុផ្សេងៗ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Poisoning/Ingestion of chemical substances,Misc_Poisoning/Ingestion of chemical substances,Poisoning/Ingestion of chemical substances,ពុលសារធាតុគីមី,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Congenital heart disease (CHD),Misc_Congenital heart disease (CHD),Congenital heart disease (CHD),ជំងឺបេះដូងពីកំណើត(CHD),,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Congenital malformations of musculoskeletal system, not elsewhere classified","Misc_Congenital malformations of musculoskeletal system, not elsewhere classified","Congenital malformations of musculoskeletal system, not elsewhere classified","Congenital malformations of musculoskeletal system, not elsewhere classified",,,Misc,N/A,,,,,,,,,,,
,,,Misc_Down syndrome,Misc_Down syndrome,Down syndrome,ចុះរោគសញ្ញា,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Turner syndrome,Misc_Turner syndrome,Turner syndrome,ជម្ងឺ Turner,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Wound, infected","Misc_Wound, infected","Wound, infected",រងរបួស,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Wound, open, cut from bite","Misc_Wound, open, cut from bite","Wound, open, cut from bite",របួសចំហរ ស្នាមដាច់រលាត់ពីការខាំ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Trauma,Misc_Trauma,Trauma,របួស,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Diseases, other","Misc_Diseases, other","Diseases, other",ជំងឺទូទៅផ្សេងៗ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_STD,Misc_STD,STD,ជំងឺកាមរោគ (STD),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Dengue fever,Misc_Dengue fever,Dengue fever,ជំងឺគ្រុនឈាម,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Dengue fever, hemorrhagic (non shock)","Misc_Dengue fever, hemorrhagic (non shock)","Dengue fever, hemorrhagic (non shock)",ជំងឺគ្រុនឈាមគ្មានស្ហុក,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Dengue fever, hemorrhagic (with shock)","Misc_Dengue fever, hemorrhagic (with shock)","Dengue fever, hemorrhagic (with shock)",ជំងឺគ្រុនឈាមមានស្ហុក,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Dengue fever, suspected","Misc_Dengue fever, suspected","Dengue fever, suspected",គ្រុនឈាមសង្ស័យ​,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Dengue-like fever,Misc_Dengue-like fever,Dengue-like fever,គ្រុនឈាមប្រហាក់ប្រហែល,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Chikungunya virus,Misc_Chikungunya virus,Chikungunya virus,គ្រុនឈិកសង្ស័យ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Chikungunya virus, suspected","Misc_Chikungunya virus, suspected","Chikungunya virus, suspected",គ្រុនឈិកប្រហាក់ប្រហែល,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Enteroviral vesicular stomatitis with exanthem,Misc_Enteroviral vesicular stomatitis with exanthem,Enteroviral vesicular stomatitis with exanthem,ជំងឹពងបែកនៅដៃ-ជើង-មាត់,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Hepatitis A,Misc_Hepatitis A,Hepatitis A,រលាកថ្លើមប្រភេទ A,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Hepatitis B,Misc_Hepatitis B,Hepatitis B,រលាកថ្លើមប្រភេទ B,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Hepatitis C,Misc_Hepatitis C,Hepatitis C,រលាកថ្លើមប្រភេទ C,,,Misc,N/A,,,,,,,,,,,
,,,Misc_HIV/AIDS,Misc_HIV/AIDS,HIV/AIDS,ជំងឺអេដស៏,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Mumps,Misc_Mumps,Mumps,ជំងឺស្រឡទែន,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Malaria, Plasmodium falciparum malaria with cerebral complications","Misc_Malaria, Plasmodium falciparum malaria with cerebral complications","Malaria, Plasmodium falciparum malaria with cerebral complications",គ្រុនចាញ់ស្រាល,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Severe and complicated plasmodium falciparum malaria, other","Misc_Severe and complicated plasmodium falciparum malaria, other","Severe and complicated plasmodium falciparum malaria, other",គ្រុនចាញ់ធ្ងន់ធ្ងរ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Malaria, unspecified","Misc_Malaria, unspecified","Malaria, unspecified",ជំងឺគ្រុនចាញ់មិនត្រូវបានបញ្ជាក់,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Influenza due to certain identified influenza virus,Misc_Influenza due to certain identified influenza virus,Influenza due to certain identified influenza virus,ផ្តាសាយបក្សី,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Influenza, virus not identified","Misc_Influenza, virus not identified","Influenza, virus not identified",ផ្តាសាយផ្សេងៗ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Communicable diseases, other","Misc_Communicable diseases, other","Communicable diseases, other",ជំងឺឆ្លងផ្សេងៗ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tuberculosis of lung,Misc_Tuberculosis of lung,Tuberculosis of lung,របេងសួត,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tuberculous pleurisy,Misc_Tuberculous pleurisy,Tuberculous pleurisy,របេងស្រោមសួត,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Respiratory tuberculosis, primary","Misc_Respiratory tuberculosis, primary","Respiratory tuberculosis, primary",,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Respiratory tuberculosis, other","Misc_Respiratory tuberculosis, other","Respiratory tuberculosis, other",ជំងឺរបេងសួតផ្សេងៗ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Respiratory tuberculosis, unspecified","Misc_Respiratory tuberculosis, unspecified","Respiratory tuberculosis, unspecified",របេងសួតសង្ស័យ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tuberculous meningitis,Misc_Tuberculous meningitis,Tuberculous meningitis,រលាកស្រោមខួរបណ្ដាលមកពីរបេង Tuberculous meningitis,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Tuberculosis of nervous system, other","Misc_Tuberculosis of nervous system, other","Tuberculosis of nervous system, other",របេងប្រព័ន្ឋសរសៃប្រសាទផ្សេងៗ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tuberculosis of other bones,Misc_Tuberculosis of other bones,Tuberculosis of other bones,របេងឆ្អឹង,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tuberculous peritonitis,Misc_Tuberculous peritonitis,Tuberculous peritonitis,របេងស្រោមពោះ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Tuberculosis, other organs","Misc_Tuberculosis, other organs","Tuberculosis, other organs",របេងសរីរាង្គផេ្សងទៀត,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Miliary TB,Misc_Miliary TB,Miliary TB,របេងមីលីយែរ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Leprosy, unspecified","Misc_Leprosy, unspecified","Leprosy, unspecified",ហង់សិន,,,Misc,N/A,,,,,,,,,,,
,,,Misc_MOTT(mycobacterium other than TB) pulmonary mycobacterial infection,Misc_MOTT(mycobacterium other than TB) pulmonary mycobacterial infection,MOTT(mycobacterium other than TB) pulmonary mycobacterial infection,ជំងឺបង្កឡើងដោយមីកូបាក់តេរីផ្សេងៗ ទៀត,,,Misc,N/A,,,,,,,,,,,
,,,Misc_MDR(multi-drug resistant) TB confirmed by culture,Misc_MDR(multi-drug resistant) TB confirmed by culture,MDR(multi-drug resistant) TB confirmed by culture,របេងស៊ាំថ្នាំមានការបណ្ដុះមេរោគ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_B1 deficiency,Misc_B1 deficiency,B1 deficiency,កង្វះ B1,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Vitamin deficiency,Misc_Vitamin deficiency,Vitamin deficiency,កង្វះវីតាមីន,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Diabetic type 1 (DM),Misc_Diabetic type 1 (DM),Diabetic type 1 (DM),ជំងឺទឹកនោមផ្អែម១(DM),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Diabetic type 2 (DM),Misc_Diabetic type 2 (DM),Diabetic type 2 (DM),ជំងឺទឹកនោមផ្អែម២(DM),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Severe acute malnutrition (SAM) with nutritional oedema,Misc_Severe acute malnutrition (SAM) with nutritional oedema,Severe acute malnutrition (SAM) with nutritional oedema,កង្វះអាហារូបត្ថម្ភធ្ងន់ធ្ងរស្រូចស្រាវមានហើម(SAM),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Severe acute malnutrition (SAM) with clinical signs,Misc_Severe acute malnutrition (SAM) with clinical signs,Severe acute malnutrition (SAM) with clinical signs,កង្វះអាហារូបត្ថម្ភធ្ងន់ធ្ងរស្រូចស្រាវមានរោគសញ្ញាគ្លីនិក(SAM),,,Misc,N/A,,,,,,,,,,,
